index,true_label,pred_label,true_label_decoded,pred_label_decoded
9,1,0,1,0
18,1,0,1,0
30,0,1,0,1
66,0,1,0,1
100,1,0,1,0
106,1,0,1,0
181,0,1,0,1
187,1,0,1,0
189,0,1,0,1
211,0,1,0,1
214,1,0,1,0
229,1,0,1,0
240,0,1,0,1
241,0,1,0,1
244,0,1,0,1
259,1,0,1,0
281,1,0,1,0
297,1,0,1,0
318,0,1,0,1
329,0,1,0,1
377,1,0,1,0
382,0,1,0,1
404,0,1,0,1
456,0,1,0,1
459,1,0,1,0
501,0,1,0,1
566,0,1,0,1
613,1,0,1,0
622,0,1,0,1
627,0,1,0,1
640,1,0,1,0
660,0,1,0,1
667,1,0,1,0
670,1,0,1,0
677,0,1,0,1
684,1,0,1,0
696,1,0,1,0
713,1,0,1,0
724,0,1,0,1
792,1,0,1,0
805,1,0,1,0
834,1,0,1,0
848,0,1,0,1
866,1,0,1,0
